id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
23,34, ?,73296, 11th,7, Never-married, ?, Not-in-family, Black, Female,0,0,40, United-States
24,33, Private,186824, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
25,41, Self-emp-not-inc,189941, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
26,33, State-gov,120460, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
27,18, ?,280901, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,15, United-States
28,28, Local-gov,136643, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
29,25, Private,29106, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,50, United-States
30,58, ?,129632, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,4, United-States
31,41, Private,22419, 9th,5, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,84, United-States
32,40, Private,75615, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,43, United-States
33,39, Private,108140, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
34,27, Private,445480, 12th,8, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
35,25, Private,789600, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
36,39, Private,183279, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States
37,20, ?,334105, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States
38,37, Private,94208, 1st-4th,2, Divorced, Other-service, Unmarried, White, Female,0,0,35, Mexico
39,32, Private,464621, Some-college,10, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States
40,74, Self-emp-not-inc,168951, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,14, United-States
41,37, Private,175185, Assoc-voc,11, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
42,41, Self-emp-inc,124330, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, United-States
43,42, State-gov,82161, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,72, United-States
44,24, Private,132247, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,24, United-States
45,17, Private,226503, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20, United-States
46,58, Private,268295, 5th-6th,3, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States
47,53, Private,172962, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
48,65, Private,183544, 9th,5, Widowed, Sales, Not-in-family, White, Female,0,0,38, United-States
49,37, Private,302903, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, United-States
50,27, Private,86153, HS-grad,9, Never-married, Tech-support, Unmarried, White, Female,0,0,40, Germany
51,32, Private,108247, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40, United-States
52,23, Private,365881, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,25, United-States
53,73, ?,86709, Some-college,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,0,0,38, United-States
54,43, Private,102606, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States
55,46, Private,99699, Bachelors,13, Separated, Prof-specialty, Not-in-family, Black, Female,0,1876,40, United-States
56,27, Private,165014, Some-college,10, Married-civ-spouse, Sales, Own-child, Other, Female,0,0,11, Mexico
57,39, Self-emp-not-inc,54022, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
58,37, Private,139684, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States
59,40, Private,477345, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,2057,40, Mexico
60,38, Private,181705, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
61,47, Federal-gov,38819, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States
62,30, Private,217460, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
63,44, Local-gov,159449, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States
64,36, Private,154410, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
65,36, Self-emp-not-inc,84294, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, United-States
66,34, Private,349148, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
67,36, Private,145704, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States
68,62, Private,170969, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
69,58, Private,143266, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
70,37, Private,339772, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
71,62, ?,103575, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,5178,0,40, United-States
72,33, Private,149910, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States
73,67, Private,192995, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,6723,0,40, United-States
74,29, Private,177562, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,3781,0,35, United-States
75,43, Private,174748, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,7430,0,45, United-States
76,46, Self-emp-not-inc,525848, 11th,7, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,48, United-States
77,33, Private,350106, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,34, United-States
78,61, Private,213700, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, United-States
79,33, Private,226629, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States
80,66, State-gov,198363, 7th-8th,4, Widowed, Other-service, Not-in-family, Black, Female,2964,0,40, United-States
81,31, Federal-gov,158847, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States
82,38, Self-emp-not-inc,143385, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,80, United-States
83,35, Federal-gov,105527, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
84,24, Private,126613, 11th,7, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States
85,37, Private,203828, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States
86,45, Self-emp-not-inc,58683, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,5178,0,48, United-States
87,29, Private,241607, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,2597,0,40, United-States
88,26, Private,206199, 11th,7, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States
89,53, Private,58535, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States
90,34, Local-gov,158242, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,43, United-States
91,51, Private,274528, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
92,22, State-gov,62865, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,8, United-States
93,41, Private,164612, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States
94,22, ?,334593, Some-college,10, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States
95,39, Private,192251, Some-college,10, Divorced, Craft-repair, Own-child, White, Female,0,0,50, United-States
96,50, Private,227458, HS-grad,9, Never-married, Exec-managerial, Unmarried, White, Male,0,0,51, United-States
97,34, Private,145231, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,4064,0,35, United-States
98,31, Private,103573, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States
99,36, Private,204527, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,1506,0,40, United-States
100,35, Private,167482, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
101,34, Private,223327, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,1672,42, United-States
102,51, Self-emp-not-inc,181179, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,25, United-States
103,38, Federal-gov,32899, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
104,18, Private,115815, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, England
105,53, Self-emp-not-inc,276369, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States
106,44, Private,172837, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,52, United-States
107,20, Private,119665, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
108,19, Private,273226, 11th,7, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States
109,31, Private,176711, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
110,24, Private,91189, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
111,40, Private,202508, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,48, ?
112,41, Private,82823, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,5013,0,30, United-States
113,25, Private,332409, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
114,31, Federal-gov,144949, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
115,37, Private,175614, 10th,6, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States
116,42, Private,252058, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
117,64, Private,45868, 7th-8th,4, Separated, Priv-house-serv, Not-in-family, Other, Female,0,0,35, Mexico
118,17, Private,148345, 11th,7, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States
119,30, Local-gov,170772, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
120,50, Local-gov,129311, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
121,66, Private,80621, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
122,34, Private,135304, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
123,52, Self-emp-not-inc,156882, Some-college,10, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States
124,28, Private,66893, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,1564,50, United-States
125,27, Private,148429, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States
126,67, Self-emp-not-inc,221252, Masters,14, Divorced, Sales, Not-in-family, Other, Male,0,0,40, United-States
127,46, Self-emp-not-inc,368355, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States
128,59, Federal-gov,298449, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,43, United-States
129,45, State-gov,226452, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
130,18, Private,294263, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,9, United-States
131,85, Self-emp-inc,155981, Bachelors,13, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
132,24, Private,300275, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
133,27, Self-emp-not-inc,209301, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States
134,34, Self-emp-inc,513977, HS-grad,9, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,50, United-States
135,59, Private,103948, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
136,19, ?,138564, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,8, United-States
137,40, Self-emp-not-inc,173651, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
138,24, ?,350917, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,30, United-States
139,41, Private,99254, Masters,14, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States
140,35, Private,172252, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
141,20, Private,87867, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States
142,31, Private,31510, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
143,44, Private,45363, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,44, United-States
144,27, Private,309463, 9th,5, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,10, United-States
145,37, Self-emp-inc,347189, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
146,41, Private,323919, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
147,26, Private,122920, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,56, United-States
148,35, Private,210945, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,38, United-States
149,35, Private,212465, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States
150,45, Private,347993, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Mexico
151,29, Private,336167, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,30, United-States
152,28, Private,205903, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
153,44, Private,133986, Some-college,10, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
154,52, Private,176124, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
155,23, Private,84726, Assoc-acdm,12, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,45, Germany
156,28, Private,90928, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
157,24, Private,110371, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
158,59, Self-emp-not-inc,275236, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States
159,24, Self-emp-not-inc,166371, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States
160,59, Private,70796, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,15, United-States
161,58, Self-emp-not-inc,98361, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
162,56, Self-emp-not-inc,99479, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,5013,0,46, United-States
163,57, Private,118993, 9th,5, Married-civ-spouse, Transport-moving, Other-relative, White, Female,0,0,40, ?
164,18, Private,161245, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States
165,30, Self-emp-not-inc,24961, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
166,28, ?,243190, Bachelors,13, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,0,0,30, ?
167,42, Private,100479, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
168,34, Private,71865, 9th,5, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, Portugal
169,45, State-gov,142167, Masters,14, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, ?
170,33, Private,53373, 10th,6, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States
171,20, Private,221661, 10th,6, Never-married, Sales, Not-in-family, White, Female,0,0,30, Mexico
172,64, Private,278585, HS-grad,9, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States
173,21, Private,342575, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States
174,34, Private,195144, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
175,44, Self-emp-inc,240900, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
176,48, Private,548568, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
177,42, Private,167357, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,213,40, United-States
178,24, Private,114939, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
179,17, Private,94774, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States
180,45, Self-emp-not-inc,247053, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
181,28, Private,54670, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,40, ?
182,18, ?,167875, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,16, United-States
183,47, Private,308857, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States
184,44, Private,136986, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
185,59, Private,144962, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
186,68, ?,150250, Masters,14, Married-civ-spouse, ?, Husband, White, Male,0,1510,30, United-States
187,28, Self-emp-not-inc,169460, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States
188,47, Self-emp-not-inc,185859, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,3103,0,60, United-States
189,54, Private,209464, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
190,55, Private,102058, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
191,36, Self-emp-not-inc,143385, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States
192,54, State-gov,180881, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
193,33, Private,98168, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States
194,33, Private,234537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
195,32, Private,149787, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
196,24, Local-gov,56820, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
197,49, Local-gov,181970, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
198,49, Private,149218, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, United-States
199,29, Private,108574, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,30, United-States
200,19, Private,291181, HS-grad,9, Never-married, Sales, Other-relative, White, Female,0,0,28, Mexico
201,53, State-gov,33795, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
202,34, Self-emp-inc,229732, Assoc-acdm,12, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States
203,19, ?,191140, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States
204,45, Private,59287, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
205,46, Private,129232, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
206,33, Private,172237, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States
207,31, Private,328199, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,2354,0,40, United-States
208,62, Private,171757, 7th-8th,4, Widowed, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States
209,36, Private,152307, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,55, United-States
210,33, Private,318982, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States
211,29, Private,175639, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,28, United-States
212,55, Private,28338, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
213,32, Private,208761, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, United-States
214,38, Private,157473, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States
215,39, Private,98886, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White, Male,4508,0,40, Mexico
216,53, Private,199287, 9th,5, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,9, United-States
217,32, Private,105749, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
218,25, Private,78605, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
219,31, Private,75755, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States
220,43, Federal-gov,265604, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
221,19, Private,47235, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,75, United-States
222,48, Federal-gov,72896, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
223,22, Private,198956, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,35, United-States
224,55, Private,327406, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,65, United-States
225,38, Private,129764, Some-college,10, Divorced, Sales, Unmarried, White, Male,1506,0,50, United-States
226,41, Private,205195, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States
227,19, Private,277695, Preschool,1, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, Mexico
228,42, Private,103089, Some-college,10, Separated, Prof-specialty, Unmarried, White, Female,1506,0,40, United-States
229,39, Private,269323, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,1485,38, United-States
230,63, Private,156127, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States
231,54, Federal-gov,72257, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7688,0,40, United-States
232,26, Private,599057, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,37, United-States
233,36, ?,143774, HS-grad,9, Divorced, ?, Other-relative, White, Female,0,0,40, United-States
234,76, ?,209674, 7th-8th,4, Divorced, ?, Not-in-family, White, Female,0,0,7, United-States
235,19, Private,96705, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,14, United-States
236,46, Private,272792, Bachelors,13, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States
237,42, Private,205195, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
238,40, Private,111779, 11th,7, Divorced, Other-service, Unmarried, Black, Female,0,0,36, United-States
239,18, Private,110142, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,15, United-States
240,22, Private,303781, Some-college,10, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States
241,60, Private,137344, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
242,64, State-gov,186376, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States
243,32, Private,153353, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
244,48, Private,138342, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1485,55, United-States
245,75, Self-emp-inc,134414, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
246,32, State-gov,479179, 11th,7, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States
247,25, Private,189334, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
248,59, Private,92141, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States
249,40, Federal-gov,158796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines
250,25, Private,72887, 11th,7, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines
251,37, Self-emp-not-inc,168166, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States
252,48, Local-gov,67716, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50, United-States
253,38, Private,61343, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
254,65, Private,228182, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
255,27, Private,173944, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States
256,27, Private,82242, Bachelors,13, Never-married, Exec-managerial, Other-relative, White, Male,0,0,45, Germany
